Time(ns) Atom xpos(nm) ypos(nm) zpos(nm)
0.003 88 5.01002 3.45391 5.06377
0.003 89 6.67219 3.5068 5.05996
0.003 90 9.86651 4.9753 5.06193
0.003 91 1.82678 4.98882 4.98412
0.003 92 3.58605 4.86627 4.96274
0.003 93 5.05719 4.9987 5.11481
0.003 94 6.71011 4.87834 5.12643
0.003 95 0.207657 6.87987 5.1475
0.003 96 1.6071 6.71686 5.08387
0.003 97 3.22679 6.71587 5.10256
0.003 98 5.13326 6.65794 4.94585
0.003 99 6.75067 6.56352 5.12738
0.004 0 0.20169 9.94398 0.16385
0.004 1 1.84639 0.20815 0.0592916
0.004 2 3.66965 0.294572 9.98386
0.004 3 4.82105 9.96 0.0463545
0.004 4 6.72337 0.310817 0.0825293
0.004 5 0.141904 1.60459 0.105132
0.004 6 1.77872 1.79511 0.0269821
0.004 7 3.24274 1.96554 9.97131
0.004 8 5.05625 1.82713 0.279275
0.004 9 6.7467 1.67404 0.0198678
0.004 10 0.349012 3.30119 0.137939
0.004 11 1.71531 3.33669 0.0352517
0.004 12 3.38555 3.39414 9.73519
0.004 13 5.04823 3.4039 0.00170026
0.004 14 6.62536 3.16226 0.233733
0.004 15 0.31101 4.91807 0.0402467
0.004 16 1.70309 5.10276 0.146883
0.004 17 3.54396 4.92868 0.124525
0.004 18 4.89994 5.16148 0.0575884
0.004 19 6.50998 5.06978 0.273007
0.004 20 0.0891516 6.48173 0.290592
0.004 21 1.88431 6.62391 0.0842318
0.004 22 3.25649 6.59202 0.272759
0.004 23 4.78875 6.72368 0.118586
0.004 24 6.60513 6.68308 9.96392
0.004 25 0.10427 9.80425 2.14869
0.004 26 1.81049 0.0918353 1.69247
0.004 27 3.43036 9.78878 1.80616
0.004 28 4.8371 0.175335 1.67114
0.004 29 6.55871 0.258883 1.68575
0.004 30 0.0323461 1.72099 1.79908
0.004 31 1.6308 1.81226 1.72325
0.004 32 3.21389 1.77172 1.6592
0.004 33 5.0879 1.86112 1.76864
0.004 34 6.16358 1.80286 1.68334
0.004 35 0.171671 3.1995 1.72316
0.004 36 1.87816 3.47487 1.77384
0.004 37 3.39484 3.47165 1.57713
0.004 38 4.97438 3.32427 1.79116
0.004 39 6.74357 3.36888 1.30855
0.004 40 0.0490989 5.19563 1.84739
0.004 41 1.81707 5.27809 1.88085
0.004 42 3.31659 4.88809 1.77953
0.004 43 4.96137 4.8422 1.65695
0.004 44 6.93768 4.91678 1.68555
0.004 45 0.296418 6.42024 1.8535
0.004 46 1.74303 6.71518 1.61346
0.004 47 3.2631 6.83452 1.75301
0.004 48 5.02269 7.07239 1.89025
0.004 49 6.66609 6.80092 1.74988
0.004 50 0.279044 0.168729 3.29526
0.004 51 1.62383 0.0839045 3.28846
0.004 52 3.30028 0.0228445 3.48089
0.004 53 5.1045 0.266337 3.51153
0.004 54 6.55238 0.0703076 3.40665
0.004 55 0.29723 1.82496 3.44331
0.004 56 1.73668 1.90117 3.44798
0.004 57 3.50223 1.7998 3.50201
0.004 58 5.16638 1.80977 3.34854
0.004 59 6.62235 1.90224 3.1034
0.004 60 0.328468 3.31926 3.12543
0.004 61 1.95179 3.41441 3.30096
0.004 62 3.52926 3.17218 3.63663
0.004 63 4.98955 3.40348 3.46669
0.004 64 6.59708 3.69178 3.56365
0.004 65 0.0538064 5.00303 3.5197
0.004 66 1.50648 5.11462 3.30132
0.004 67 3.31887 5.02857 3.30539
0.004 68 5.10818 4.81545 3.32086
0.004 69 6.75008 4.84916 3.61015
0.004 70 0.115601 6.46499 3.38082
0.004 71 1.4632 6.6593 3.31955
0.004 72 3.47135 6.7692 3.40558
0.004 73 4.75244 6.60838 3.2317
0.004 74 6.68018 6.71851 3.17414
0.004 75 9.96897 0.0315283 5.01494
0.004 76 1.65503 0.0372225 4.88578
0.004 77 3.484 0.239037 4.99268
0.004 78 5.02099 0.137621 5.04352
0.004 79 6.67224 9.97527 5.03425
0.004 80 9.93936 1.81569 4.93829
0.004 81 1.64641 1.61179 5.05823
0.004 82 3.57028 1.77826 5.15441
0.004 83 5.04 1.71303 4.92338
0.004 84 6.80783 1.89593 5.10436
0.004 85 0.0792253 3.16132 4.98808
0.004 86 1.5949 3.63436 5.10625
0.004 87 3.4609 3.37465 4.89682
0.004 88 4.99667 3.47191 5.06828
0.004 89 6.66286 3.5425 5.0632
0.004 90 9.78872 4.95038 5.06584
0.004 91 1.85237 4.96836 4.96211
0.004 92 3.64811 4.80497 4.93361
0.004 93 5.05955 4.98156 5.13635
0.004 94 6.71343 4.82102 5.15183
0.004 95 0.243659 6.93979 5.17996
0.004 96 1.55941 6.72245 5.09511
0.004 97 3.16903 6.72113 5.12003
0.004 98 5.16103 6.64386 4.91109
0.004 99 6.76751 6.51797 5.15314
0.005 0 0.227175 9.90505 0.179841
0.005 1 1.87047 0.235266 0.0491889
0.005 2 3.73738 0.343182 9.95489
0.005 3 4.76349 9.92513 0.0330037
0.005 4 6.72917 0.363694 0.0782314
0.005 5 0.152458 1.56824 0.10648
0.005 6 1.78595 1.80641 0.00879706
0.005 7 3.20336 2.01949 9.9392
0.005 8 5.05784 1.84646 0.324211
