Time(ns) Atom xvel(nm/ns) yvel(nm/ns) zvel(nm/ns)
0.005 34 -135.215 13.271 -16.5193
0.005 35 18.0133 -50.2185 -6.6091
0.005 36 32.091 18.6868 6.01217
0.005 37 -1.32167 18.0174 -43.1969
0.005 38 -18.9314 -18.9665 10.2871
0.005 39 10.7074 -7.94716 -111.274
0.005 40 -12.5677 36.7811 24.3834
0.005 41 16.7796 57.1005 32.7827
0.005 42 -20.8758 -40.5891 7.40627
0.005 43 -22.2069 -52.0464 -23.2668
0.005 44 59.3322 -33.3497 -16.2209
0.005 45 49.1715 -70.3324 25.8902
0.005 46 -1.74749 3.60591 -34.1462
0.005 47 -34.2831 33.5555 0.691802
0.005 48 -6.84065 93.0073 35.1703
0.005 49 -8.55121 25.1818 0.0964652
0.005 50 44.9525 17.1139 -26.5802
0.005 51 -31.7267 -3.95393 -27.8839
0.005 52 -24.9352 -19.2147 20.264
0.005 53 13.7191 41.6837 27.9402
0.005 54 -37.0595 -7.35268 1.68775
0.005 55 49.4638 18.79 10.8464
0.005 56 -3.44048 37.8462 11.9975
0.005 57 25.5852 12.6219 25.5581
0.005 58 29.1453 14.9347 -12.8811
0.005 59 -19.6104 38.0474 -74.231
0.005 60 57.1942 -20.2626 -68.7598
0.005 61 50.4279 3.54163 -24.822
0.005 62 32.3555 -57.0539 59.4395
0.005 63 -15.1562 0.946262 16.6927
0.005 64 -25.7477 73.539 41.0417
0.005 65 -11.3898 -11.638 29.9125
0.005 66 -60.9515 16.2121 -24.7466
0.005 67 -20.2715 -5.36479 -23.6975
0.005 68 14.5508 -58.781 -19.7814
0.005 69 12.3478 -50.8294 52.5883
0.005 70 4.15632 -58.8892 -4.87185
0.005 71 -71.8987 -10.3347 -20.1316
0.005 72 18.098 17.1985 1.3341
0.005 73 -74.6288 -22.8826 -42.1378
0.005 74 -5.00096 4.5924 -56.6064
0.005 75 -32.6792 -17.0597 -8.83106
0.005 76 -23.7681 -15.5869 -41.1495
0.005 77 21.067 34.8603 -14.4448
0.005 78 -7.28792 9.51969 -1.75199
0.005 79 -7.023 -31.1361 -4.0221
0.005 80 -40.0479 16.6084 -28.0359
0.005 81 -25.9238 -34.6005 1.94756
0.005 82 42.6645 7.04371 25.9678
0.005 83 -2.59132 -9.27427 -31.7488
0.005 84 26.8911 36.522 13.5454
0.005 85 -5.11693 -59.8483 -15.5377
0.005 86 -38.7838 58.7578 13.9728
0.005 87 15.3388 -6.30366 -38.643
0.005 88 -13.3759 18.0537 4.44661
0.005 89 -9.35543 35.9135 3.1788
0.005 90 -77.7615 -24.9209 3.85148
0.005 91 25.5669 -20.5826 -22.0335
0.005 92 62.1305 -61.3824 -29.1694
0.005 93 2.30083 -17.1993 21.4929
0.005 94 3.2629 -57.5278 25.3048
0.005 95 36.1713 59.8723 32.4247
0.005 96 -47.8185 5.59425 11.229
0.005 97 -57.7908 5.24114 17.437
0.005 98 27.7924 -14.1175 -34.7804
0.005 99 16.7913 -45.5718 25.7418
0.006 0 25.518 -38.8909 16.0004
0.006 1 24.0571 27.1669 -10.0579
0.006 2 68.296 48.3726 -28.8955
0.006 3 -58.1374 -34.5775 -13.3552
0.006 4 5.78771 53.0943 -4.26373
0.006 5 10.6027 -36.3484 1.38262
0.006 6 7.28683 11.336 -18.148
0.006 7 -39.4495 54.0177 -32.0905
0.006 8 1.62216 19.3606 45.0538
0.006 9 11.5478 -19.1835 -19.8918
0.006 10 62.6269 -24.676 9.585
0.006 11 -8.94355 -15.9287 -16.0705
0.006 12 -3.62148 -1.57264 -91.038
0.006 13 -0.425641 0.915646 -24.4536
0.006 14 -18.4101 -58.9122 35.7527
0.006 15 53.0464 -32.9352 -14.8227
0.006 16 -11.9444 13.2528 11.7885
0.006 17 36.2603 -30.3134 6.21891
0.006 18 -37.7621 27.8538 -10.4473
0.006 19 -47.5711 4.96559 43.4329
0.006 20 -2.60149 -54.7064 47.7836
0.006 21 33.8283 -19.2002 -3.69867
0.006 22 -36.0631 -27.0495 43.3277
0.006 23 -65.4021 5.76024 4.72284
0.006 24 -23.7824 -4.33031 -33.933
0.006 25 1.30719 -73.5635 100.428
0.006 26 15.1415 -1.96172 -14.3476
